"","Year","State","avg_AQI"
"756",1994,"Minnesota",29
"757",1994,"Mississippi",34.25
"758",1994,"Missouri",42.3636363636364
"759",1994,"Montana",34.2
"760",1994,"Nebraska",26.2
"761",1994,"Nevada",38.7142857142857
"762",1994,"New Hampshire",37.5
"763",1994,"New Jersey",41.5
"764",1994,"New Mexico",33.5384615384615
"765",1994,"New York",42.0833333333333
"766",1994,"North Carolina",36.448275862069
"767",1994,"North Dakota",18
"768",1994,"Ohio",43.5384615384615
"769",1994,"Oklahoma",31.5
"770",1994,"Oregon",31.7692307692308
"771",1994,"Pennsylvania",49.2962962962963
"772",1994,"Puerto Rico",32
